DOI,Year,Journal,Membrane,MWCO,solvent_name,rejection,solvent_smiles,Temperature,Process configuration,solute_smiles,smiles
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8542,CCO,25,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.9236,CCO,25,CF,N[C@@H](C)C(OC1=CC=CC=C1)=O,N[C@@H](C)C(OC1=CC=CC=C1)=O.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.9129,CCO,25,CF,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8937,CCO,25,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8419,CCO,25,CF,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.5208,CCO,25,CF,CCCCCCCCCC,CCCCCCCCCC.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.5678,CCO,25,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6048,CCO,25,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6328,CCO,25,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6837,CCO,25,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8484,CCO,25,CF,O=C1CNC(C(C(C)C)N1)=O,O=C1CNC(C(C(C)C)N1)=O.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.834,CCO,25,CF,O=C1C(C)NC(C(C)N1)=O,O=C1C(C)NC(C(C)N1)=O.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6076,CCO,25,CF,O=C1CNC(CN1)=O,O=C1CNC(CN1)=O.CCO
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.18,CC(O)C,25,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.59,CC(O)C,25,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.79,CC(O)C,25,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.9,CC(O)C,25,CF,N[C@@H](C)C(OC1=CC=CC=C1)=O,N[C@@H](C)C(OC1=CC=CC=C1)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.79,CC(O)C,25,CF,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.85,CC(O)C,25,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.77,CC(O)C,25,CF,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.55,CC(O)C,25,CF,CCCCCCCCCC,CCCCCCCCCC.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.62,CC(O)C,25,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.65,CC(O)C,25,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.67,CC(O)C,25,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.7,CC(O)C,25,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.8,CC(O)C,25,CF,CCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCC.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.81,CC(O)C,25,CF,CCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCC.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.61,CC(O)C,25,CF,O=C1CNC(C(C(C)C)N1)=O,O=C1CNC(C(C(C)C)N1)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.54,CC(O)C,25,CF,O=C1C(C)NC(C(C)N1)=O,O=C1C(C)NC(C(C)N1)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.34,CC(O)C,25,CF,O=C1CNC(CN1)=O,O=C1CNC(CN1)=O.CC(O)C
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.63,CC(CC)=O,25,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.74,CC(CC)=O,25,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.91,CC(CC)=O,25,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.88,CC(CC)=O,25,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.99,CC(CC)=O,25,CF,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.8,CC(CC)=O,25,CF,CCCCCCCCCC,CCCCCCCCCC.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.91,CC(CC)=O,25,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.94,CC(CC)=O,25,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.96,CC(CC)=O,25,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.97,CC(CC)=O,25,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.98,CC(CC)=O,25,CF,CCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCC.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.97,CC(CC)=O,25,CF,CCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCC.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.84,CC(CC)=O,25,CF,O=C1CNC(C(C(C)C)N1)=O,O=C1CNC(C(C(C)C)N1)=O.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.69,CC(CC)=O,25,CF,O=C1C(C)NC(C(C)N1)=O,O=C1C(C)NC(C(C)N1)=O.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Methyl ethyl ketone,0.26,CC(CC)=O,25,CF,O=C1CNC(CN1)=O,O=C1CNC(CN1)=O.CC(CC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.45,CC(OCC)=O,25,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.54,CC(OCC)=O,25,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.64,CC(OCC)=O,25,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.68,CC(OCC)=O,25,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.98,CC(OCC)=O,25,CF,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.65,CC(OCC)=O,25,CF,CCCCCCCCCC,CCCCCCCCCC.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.78,CC(OCC)=O,25,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.85,CC(OCC)=O,25,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.9,CC(OCC)=O,25,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.93,CC(OCC)=O,25,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.96,CC(OCC)=O,25,CF,CCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCC.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.96,CC(OCC)=O,25,CF,CCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCC.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.64,CC(OCC)=O,25,CF,O=C1CNC(C(C(C)C)N1)=O,O=C1CNC(C(C(C)C)N1)=O.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.4,CC(OCC)=O,25,CF,O=C1C(C)NC(C(C)N1)=O,O=C1C(C)NC(C(C)N1)=O.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethyl acetate,0.22,CC(OCC)=O,25,CF,O=C1CNC(CN1)=O,O=C1CNC(CN1)=O.CC(OCC)=O
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.04,CC1=CC=CC=C1,25,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.14,CC1=CC=CC=C1,25,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.06,CC1=CC=CC=C1,25,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.19,CC1=CC=CC=C1,25,CF,N[C@@H](C)C(OC1=CC=CC=C1)=O,N[C@@H](C)C(OC1=CC=CC=C1)=O.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.39,CC1=CC=CC=C1,25,CF,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.08,CC1=CC=CC=C1,25,CF,CCCCCCCCCC,CCCCCCCCCC.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.11,CC1=CC=CC=C1,25,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.13,CC1=CC=CC=C1,25,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.16,CC1=CC=CC=C1,25,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.17,CC1=CC=CC=C1,25,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.22,CC1=CC=CC=C1,25,CF,CCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCC.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.24,CC1=CC=CC=C1,25,CF,CCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCC.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Toluene,0.52,CC1=CC=CC=C1,25,CF,O=C1CNC(C(C(C)C)N1)=O,O=C1CNC(C(C(C)C)N1)=O.CC1=CC=CC=C1
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,,,Toluene,0.51,CC1=CC=CC=C1,25,CF,O=C1C(C)NC(C(C)N1)=O,O=C1C(C)NC(C(C)N1)=O.CC1=CC=CC=C1
